#NSGA2
popsize 100
maxGen 100
numVar 13
numObj 3
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	100
totalTime	11.0981
firstFrontCount	20
frontCount	9
avgEvalTime	0.110605
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Obj1	Obj2	Obj3	
0.546508	0.465928	0.0241329	0.159362	0.568121	0.294795	0.326325	0.536654	0.865004	0.198531	0.0724916	0.0701204	0.427757	-0.233933	0.0927436	4	
0.996789	0.605726	0.694767	0.354393	0.769094	0.531478	0.842248	0.926384	0.167128	0.872075	0.681431	0.667782	0.411767	-0.682502	0.511602	10	
0.601772	0.777131	0.787343	0.459219	0.714842	0.604639	0.439114	0.695939	0.794539	0.542137	0.571666	0.851508	0.986494	-0.963283	0.838172	11	
0.965263	0.00095958	0.554377	0.553142	0.555022	0.17543	0.0655778	0.175213	0.107738	0.587095	0.529926	0.546994	0.25501	-0.526621	0.287574	7	
0.871771	0.203643	0.291716	0.121361	0.480205	0.477586	0.465678	0.922005	0.365588	0.925157	0.291833	0.826601	0.235331	-0.331387	0.122061	4	
0.491107	0.431023	0.5908	0.946528	0.360765	0.700982	0.142353	0.262302	0.793147	0.619881	0.942365	0.633095	0.724604	-0.805406	0.481843	8	
0.442579	0.164982	0.536587	0.885444	0.618459	0.754206	0.543606	0.736459	0.204531	0.813823	0.451761	0.372087	0.899645	-0.567887	0.2721	8	
0.378121	0.208549	0.915452	0.151803	0.261617	0.282712	0.186724	0.228003	0.482129	0.299385	0.751469	0.992769	0.363573	-0.387676	0.0437273	3	
0.0503852	0.841739	0.0594696	0.248701	0.404662	0.104255	0.486646	0.519469	0.177562	0.216904	0.670503	0.96386	0.83035	-0.556981	0.197338	5	
0.266161	0.653197	0.972812	0.891099	0.608133	0.839613	0.271194	0.41107	0.897264	0.892795	0.314905	0.406039	0.243158	-0.479935	0.212792	7	
0.436782	0.286058	0.177963	0.0517387	0.122335	0.248052	0.204152	0.13748	0.156166	0.454063	0.0184113	0.0247282	0.629657	-0.175801	0	1	
0.358173	0.69213	0.663765	0.710311	0.0670883	0.503715	0.383063	0.337986	0.540159	0.487272	0.389412	0.694921	0.85814	-0.680136	0.305805	7	
0.117787	0.840551	0.42502	0.80834	0.189524	0.962952	0.923665	0.106202	0.729809	0.0475479	0.195668	0.791889	0.878427	-0.547205	0.21738	7	
0.804889	0.434859	0.330946	0.400258	0.582884	0.693959	0.253523	0.628389	0.392561	0.691776	0.0830255	0.587134	0.0376932	-0.349066	0.182513	6	
0.965773	0.114463	0.344108	0.252717	0.625343	0.341479	0.622037	0.678595	0.0967955	0.61876	0.0134363	0.162873	0.392847	-0.22896	0.120507	5	
0.399147	0.0659577	0.41247	0.39012	0.691592	0.126761	0.0608486	0.588135	0.218294	0.153518	0.488045	0.0462106	0.0244142	-0.100228	0.00674042	2	
0.459538	0.0293508	0.72547	0.0734357	0.890055	0.218903	0.697687	0.11613	0.0707439	0.564567	0.413453	0.167743	0.424682	-0.294351	0.0552645	4	
0.963249	0.45312	0.768443	0.497161	0.0503111	0.196604	0.455393	0.714182	0.292002	0.553617	0.570388	0.01001	0.757743	-0.611142	0.354936	6	
0.11243	0.69433	0.398372	0.47416	0.967257	0.906627	0.759043	0.413335	0.2414	0.282877	0.215667	0.904103	0.474876	-0.247161	0.0516331	5	
0.115888	0.666379	0.827087	0.952283	0.163282	0.172039	0.641134	0.193702	0.112188	0.550926	0.109466	0.932233	0.0609215	-0.499136	0.126811	6	
0.0629675	0.964084	0.599724	0.151588	0.907844	0.506771	0.196392	0.309853	0.365194	0.429197	0.392407	0.687589	0.277705	-0.380092	0.0608275	5	
0.58185	0.162801	0.636148	0.866382	0.497611	0.22238	0.673329	0.700948	0.0487422	0.0654624	0.173632	0.219616	0.303152	-0.281146	0.111595	5	
0.208689	0.941306	0.796624	0.0637537	0.534944	0.293049	0.824514	0.848347	0.932163	0.659299	0.889431	0.897155	0.594445	-0.978292	0.762748	10	
0.28848	0.659967	0.104413	0.237583	0.78572	0.25702	0.315524	0.430682	0.536183	0.521805	0.608864	0.69309	0.963184	-0.718629	0.393764	7	
0.875848	0.303816	0.532732	0.81406	0.248557	0.895678	0.60256	0.770804	0.563198	0.759563	0.424856	0.597482	0.147342	-0.650198	0.432076	9	
0.0808337	0.364971	0.908228	0.559834	0.703528	0.71118	0.844819	0.889468	0.294068	0.231562	0.206667	0.662339	0.541709	-0.609742	0.261253	8	
0.0416618	0.295638	0.622764	0.292264	0.220042	0.342352	0.650197	0.0722883	0.397647	0.177886	0.626705	0.902238	0.0605124	-0.409655	0.07118	4	
0.027342	0.932711	0.782403	0.34167	0.0918866	0.144301	0.952217	0.562591	0.122475	0.854523	0.634451	0.0286136	0.574379	-0.692016	0.419321	7	
0.761174	0.66972	0.482854	0.153455	0.311208	0.518295	0.10203	0.313858	0.393991	0.430091	0.475979	0.424529	0.764935	-0.248413	0.0761422	4	
0.351458	0.47094	0.87917	0.591253	0.76082	0.494457	0.263661	0.94233	0.776002	0.263845	0.704848	0.600587	0.0370363	-0.629601	0.314965	7	
0.931172	0.608577	0.826515	0.662285	0.296996	0.70082	0.61891	0.202452	0.821933	0.962457	0.767843	0.490804	0.0412738	-0.58211	0.400407	9	
0.90952	0.455603	0.328784	0.0461911	0.250958	0.951649	0.966357	0.57992	0.559188	0.068131	0.820442	0.526445	0.618862	-0.647249	0.363403	8	
0.581453	0.435153	0.236307	0.645747	0.368126	0.808926	0.37996	0.611705	0.639801	0.334066	0.485921	0.85859	0.171126	-0.373302	0.182384	6	
0.490749	0.157571	0.877843	0.902066	0.362327	0.324428	0.696045	0.19394	0.952718	0.135205	0.781899	0.00828387	0.787523	-0.585292	0.254659	6	
0.9129	0.21454	0.677019	0.789257	0.561929	0.420015	0.149556	0.64783	0.929878	0.525013	0.748259	0.318128	0.0848905	-0.594493	0.47983	8	
0.207831	0.863056	0.55796	0.435198	0.47844	0.455598	0.413125	0.02378	0.593095	0.201893	0.905867	0.844188	0.0141052	-0.580277	0.164954	5	
0.557796	0.1056	0.5267	0.426741	0.766469	0.718829	0.567501	0.670714	0.491919	0.729793	0.742038	0.0373787	0.49916	-0.474999	0.366713	8	
0.249775	0.332734	0.209683	0.551274	0.326369	0.278887	0.945105	0.00914024	0.968034	0.326683	0.0693327	0.5289	0.0347207	-0.305537	0.0511166	4	
0.93637	0.400736	0.760388	0.787396	0.535617	0.321272	0.349996	0.988043	0.18003	0.761463	0.92962	0.282843	0.948754	-0.643334	0.451302	8	
0.418079	0.535753	0.333706	0.373525	0.69094	0.220893	0.324805	0.811079	0.118324	0.125701	0.412641	0.448787	0.426374	-0.165869	0.0169888	3	
0.694276	0.144266	0.137905	0.81843	0.296504	0.0778671	0.771402	0.96654	0.494802	0.700199	0.329604	0.598255	0.512251	-0.543905	0.259348	7	
0.0318922	0.707997	0.86836	0.839404	0.0706638	0.368649	0.748907	0.415448	0.414097	0.754104	0.934072	0.591785	0.592856	-0.765842	0.424415	8	
0.584362	0.645327	0.897333	0.131457	0.500734	0.969198	0.354272	0.170901	0.544422	0.826327	0.650547	0.574196	0.906097	-0.88051	0.648394	10	
0.656135	0.417871	0.430285	0.812345	0.299439	0.325345	0.90257	0.720432	0.65304	0.765531	0.815453	0.64237	0.0735647	-0.585968	0.433124	8	
0.208467	0.464685	0.0301281	0.707926	0.441821	0.383827	0.383273	0.298067	0.0664605	0.399319	0.578053	0.542105	0.429265	-0.247503	0.021963	3	
0.185463	0.0725112	0.523085	0.711593	0.558079	0.588267	0.620324	0.829954	0.502413	0.141177	0.431164	0.0384692	0.692244	-0.59484	0.318802	8	
0.464501	0.728715	0.902141	0.500378	0.868311	0.147097	0.350544	0.369573	0.275557	0.838474	0.857786	0.0343063	0.714139	-0.619457	0.345755	7	
0.500147	0.207046	0.754081	0.15025	0.83185	0.58157	0.902517	0.102497	0.566139	0.420545	0.232222	0.151052	0.613766	-0.504076	0.221912	7	
0.75005	0.212105	0.257639	0.0716158	0.919493	0.514317	0.133957	0.629115	0.996223	0.561835	0.455426	0.69486	0.9698	-0.651827	0.358355	8	
0.807798	0.861323	0.544067	0.759425	0.111135	0.95014	0.0985965	0.708713	0.097054	0.339128	0.809187	0.169083	0.956678	-0.591739	0.344195	8	
0.574767	0.504926	0.484551	0.540822	0.885742	0.299737	0.2549	0.895145	0.525712	0.29723	0.855584	0.570778	0.463092	-0.547078	0.32287	8	
0.711583	0.597651	0.674527	0.0592656	0.0866096	0.577232	0.648745	0.872969	0.143616	0.0877788	0.588526	0.210767	0.614716	-0.59898	0.342314	8	
0.481807	0.344277	0.188185	0.267189	0.694343	0.883994	0.118631	0.498991	0.715285	0.563761	0.1727	0.263583	0.191106	-0.244646	0.0374349	4	
0.769248	0.0897732	0.0489312	0.199814	0.261042	0.542759	0.206399	0.90648	0.400774	0.781306	0.768277	0.00698011	0.0567854	-0.280655	0.205544	5	
0.451082	0.725764	0.762606	0.519076	0.377576	0.172052	0.263436	0.971866	0.216326	0.640166	0.520178	0.631321	0.228915	-0.650835	0.309287	7	
0.122814	0.498428	0.423487	0.200006	0.966874	0.462412	0.967128	0.600013	0.735677	0.917401	0.50233	0.594278	0.717487	-0.75774	0.476659	8	
0.0177719	0.559412	0.394823	0.704047	0.704977	0.435143	0.479095	0.0482227	0.977089	0.821716	0.281772	0.743667	0.898652	-0.642462	0.29166	7	
0.883022	0.593496	0.138496	0.255652	0.620562	0.668057	0.828685	0.214813	0.180199	0.282139	0.397121	0.0247531	0.309946	-0.112046	0.0688479	5	
0.305532	0.100508	0.312499	0.92722	0.466823	0.55091	0.295726	0.805481	0.456645	0.161415	0.0456038	0.867419	0.610748	-0.415397	0.0919107	5	
0.0397012	0.546292	0.0612093	0.588405	0.759154	0.575605	0.396367	0.502908	0.715477	0.906313	0.0885192	0.79471	0.327355	-0.549659	0.246182	8	
0.624082	0.615288	0.326337	0.951952	0.791474	0.827391	0.648215	0.434089	0.449104	0.376754	0.340788	0.839639	0.638902	-0.444446	0.272325	8	
0.654887	0.113268	0.953328	0.807051	0.0152775	0.773921	0.846026	0.880951	0.258014	0.622574	0.589692	0.121489	0.323968	-0.472282	0.367765	8	
0.345373	0.668826	0.990828	0.564107	0.421096	0.971703	0.937128	0.71774	0.1108	0.885763	0.00716303	0.849065	0.475078	-0.582134	0.233051	8	
0.413234	0.264811	0.339326	0.0694671	0.286645	0.818635	0.720088	0.616681	0.0462566	0.0806506	0.225658	0.602997	0.346402	-0.246838	0.0392271	4	
0.822766	0.686688	0.594522	0.646402	0.208066	0.723559	0.289504	0.57287	0.103906	0.00739816	0.825692	0.793467	0.964784	-0.7336	0.452847	9	
0.518524	0.623925	0.18502	0.0414733	0.321222	0.38702	0.752364	0.175737	0.197696	0.704538	0.949208	0.235301	0.547136	-0.461079	0.248103	6	
0.317736	0.7515	0.718187	0.497922	0.113442	0.873266	0.265188	0.0435459	0.0480341	0.989918	0.932212	0.765808	0.772138	-0.72935	0.360893	7	
0.12372	0.0904384	0.132952	0.879535	0.422851	0.630808	0.319096	0.357395	0.190828	0.778346	0.492632	0.0903732	0.470132	-0.114969	0.0223017	3	
0.544038	0.303338	0.13422	0.121573	0.521893	0.0765284	0.286553	0.0295306	0.740173	0.86902	0.595369	0.320327	0.255852	-0.342072	0.174942	5	
0.29249	0.657373	0.101662	0.825519	0.952234	0.437973	0.0827891	0.88124	0.623029	0.620801	0.170975	0.0468675	0.304439	-0.407573	0.160375	6	
0.736964	0.731675	0.0134853	0.488526	0.876764	0.0664915	0.479929	0.739616	0.830582	0.332912	0.130459	0.856315	0.150763	-0.441436	0.188644	6	
0.396994	0.719853	0.370077	0.818969	0.181033	0.314833	0.217362	0.224267	0.823214	0.0365091	0.662651	0.509902	0.678132	-0.615905	0.232436	6	
0.445193	0.305439	0.51372	0.427905	0.0680452	0.55663	0.607265	0.468434	0.460395	0.638797	0.444993	0.937147	0.368296	-0.418982	0.081005	5	
0.422794	0.24962	0.401122	0.161511	0.455808	0.608848	0.574697	0.177089	0.987155	0.578188	0.359797	0.341588	0.254377	-0.24917	0.0315078	4	
0.794701	0.374566	0.788197	0.148492	0.987396	0.406069	0.335675	0.75766	0.628584	0.660628	0.169111	0.943332	0.812531	-0.806513	0.492863	8	
0.796844	0.297486	0.912017	0.962467	0.0594796	0.752205	0.0200309	0.153824	0.83896	0.779234	0.743988	0.842626	0.529046	-0.812152	0.552259	9	
0.741853	0.16172	0.0819943	0.839676	0.582835	0.229492	0.577586	0.750964	5.69603e-05	0.487799	0.506849	0.29798	0.364891	-0.234595	0.185842	6	
0.849404	0.285394	0.33231	0.498873	0.12079	0.991611	0.650393	0.143866	0.611227	0.7634	0.347049	0.528327	0.493486	-0.397777	0.121396	6	
0.162183	0.288189	0.745114	0.651353	0.934879	0.109766	0.359973	0.750076	0.158845	0.108728	0.171989	0.598661	0.836849	-0.587538	0.18181	6	
0.341205	0.109664	0.946558	0.739383	0.0436965	0.603695	0.199145	0.304146	0.924068	0.919354	0.905695	0.193253	0.157862	-0.487744	0.271949	6	
0.509024	0.0341834	0.626456	0.955531	0.624758	0.759542	0.9332	0.255339	0.224153	0.854675	0.906911	0.490201	0.890111	-0.582765	0.407873	9	
0.327515	0.692239	0.531889	0.264408	0.605842	0.516181	0.0720786	0.326872	0.139489	0.542094	0.306609	0.30116	0.136224	-0.338238	0.0632979	5	
0.978616	0.555797	0.23632	0.309334	0.222935	0.497942	0.478299	0.552298	0.91541	0.915682	0.0439955	0.802828	0.455152	-0.523988	0.213137	6	
0.29535	0.419643	0.436001	0.224391	0.496649	0.321706	0.916207	0.750134	0.372359	0.643841	0.091732	0.834331	0.79777	-0.522421	0.143194	5	
0.579388	0.975143	0.614203	0.705374	0.0642606	0.253553	0.626975	0.569113	0.515989	0.111336	0.0632224	0.110802	0.661117	-0.649548	0.390867	8	



#Generation 2 / 100
currentGen	2
evaluateCount	200
totalTime	16.9413
firstFrontCount	38
frontCount	3
avgEvalTime	0.0552321
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Obj1	Obj2	Obj3	
0.491107	0.431023	0.5908	0.946528	0.360765	0.700982	0.142353	0.262302	0.793147	0.619881	0.942365	0.633095	0.724604	-0.805406	0.481843	8	
0.378121	0.208549	0.915452	0.151803	0.261617	0.282712	0.186724	0.228003	0.482129	0.299385	0.751469	0.992769	0.363573	-0.387676	0.0437273	3	
0.436782	0.286058	0.177963	0.0517387	0.122335	0.248052	0.204152	0.13748	0.156166	0.454063	0.0184113	0.0247282	0.629657	-0.175801	0	1	
0.358173	0.69213	0.663765	0.710311	0.0670883	0.503715	0.383063	0.337986	0.540159	0.487272	0.389412	0.694921	0.85814	-0.680136	0.305805	7	
0.115888	0.666379	0.827087	0.952283	0.163282	0.172039	0.641134	0.193702	0.112188	0.550926	0.109466	0.932233	0.0609215	-0.499136	0.126811	6	
0.208689	0.941306	0.796624	0.0637537	0.534944	0.293049	0.824514	0.848347	0.932163	0.659299	0.889431	0.897155	0.594445	-0.978292	0.762748	10	
0.0416618	0.295638	0.622764	0.292264	0.220042	0.342352	0.650197	0.0722883	0.397647	0.177886	0.626705	0.902238	0.0605124	-0.409655	0.07118	4	
0.207831	0.863056	0.55796	0.435198	0.47844	0.455598	0.413125	0.02378	0.593095	0.201893	0.905867	0.844188	0.0141052	-0.580277	0.164954	5	
0.208467	0.464685	0.0301281	0.707926	0.441821	0.383827	0.383273	0.298067	0.0664605	0.399319	0.578053	0.542105	0.429265	-0.247503	0.021963	3	
0.445193	0.305439	0.51372	0.427905	0.0680452	0.55663	0.607265	0.468434	0.460395	0.638797	0.444993	0.937147	0.368296	-0.418982	0.081005	5	
0.794701	0.374566	0.788197	0.148492	0.987396	0.406069	0.335675	0.75766	0.628584	0.660628	0.169111	0.943332	0.812531	-0.806513	0.492863	8	
0.162183	0.288189	0.745114	0.651353	0.934879	0.109766	0.359973	0.750076	0.158845	0.108728	0.171989	0.598661	0.836849	-0.587538	0.18181	6	
0.29535	0.419643	0.436001	0.224391	0.496649	0.321706	0.916207	0.750134	0.372359	0.643841	0.091732	0.834331	0.79777	-0.522421	0.143194	5	
0.249775	0.332734	0.782635	0.551274	0.326369	0.275183	0.945105	0.00914024	0.968034	0.326683	0.0409685	0.5289	0.336795	-0.460448	0.14008	5	
0.162183	0.288189	0.735115	0.743209	0.934879	0.242033	0.346326	0.750076	0.158845	0.108728	0.463047	0.138811	0.836849	-0.445677	0.114668	5	
0.12372	0.0904384	0.132952	0.787679	0.422851	0.49854	0.332744	0.357395	0.190828	0.778346	0.492632	0.550223	0.470132	-0.256606	0.0277066	3	
0.306759	0.693054	0.530417	0.710311	0.0670883	0.503715	0.383063	0.345908	0.412036	0.672504	0.389412	0.694921	0.85814	-0.653183	0.256977	7	
0.381965	0.796365	0.667377	0.635416	0.0386382	0.644274	0.390818	1	0.422418	0.966524	0.287504	0.772708	0.859506	-0.735956	0.346992	8	
0.0177719	0.559412	0.52362	0.704047	0.704977	0.338726	0.479095	0.0482227	0.977089	0.821716	0.416614	0.743667	0.899775	-0.797373	0.429357	8	
0.584362	0.645327	0.897333	0.583398	0.500734	0.969198	0.354272	0.170901	0.544422	0.826327	0.650547	0.574196	0.906097	-0.895248	0.726032	11	
0.358173	0.69213	0.663765	0.25837	0.0670883	0.503715	0.383063	0.337986	0.540159	0.487272	0.509493	0.694921	0.85814	-0.756303	0.352275	7	
0.436483	0.286058	0.177963	0.0599726	0.122335	0.268375	0.116362	0.13748	0.225266	0.455132	0.0184113	0.0247282	0.582486	-0.175801	0	1	
0.0318922	0.62835	0.86836	0.839404	0.0706638	0.387024	0.748907	0.415448	0.558476	0.754104	0.934072	0.6662	0.592856	-0.892802	0.599223	9	
0.358173	0.609005	0.663765	0.710311	0.0670883	0.503715	0.383063	0.337986	0.540159	0.487272	0.389412	0.694921	0.97983	-0.680136	0.305805	7	
0.122814	0.498428	0.403071	0.182931	0.966874	0.462412	0.967128	0.600013	0.735677	0.917401	0.493773	0.594278	0.717487	-0.666835	0.283197	7	
0.29535	0.363929	0.436001	0.258374	0.496649	0.321706	0.899828	0.713193	0.372359	0.643841	0.091732	0.834331	0.79777	-0.522421	0.143194	5	
0.162183	0.288189	0.745114	0.651353	0.934879	0.109766	0.359973	0.750076	0.158845	0.108728	0.171989	0.598661	0.836849	-0.587538	0.18181	6	
0.345373	0.668826	1	0.564107	0.421096	0.971703	0.937128	0.71774	0.1108	0.885763	0.00716303	0.849065	0.551332	-0.757935	0.397234	9	
0.162183	0.288189	0.678421	0.317577	0.934879	0.109766	0.359973	0.678662	0.158845	0.108728	0.171989	0.598661	0.836849	-0.5728	0.150609	5	
0.0416618	0.295638	0.622764	0.292264	0.220042	0.342352	0.650197	0.0722883	0.646467	0.177886	0.319727	0.902238	0.829732	-0.621511	0.19301	5	
0.103479	0.683122	1	0.902214	0.421325	0.131693	0.153378	0.967278	0.279282	0.150635	0.149579	0.850823	0.633147	-0.635724	0.219294	6	
0.358173	0.600946	0.663765	0.710311	0.00910277	0.503715	0.469451	0.436844	0.540159	0.487272	0.389412	0.614711	0.85814	-0.680136	0.305805	7	
0.378121	0.00895181	0.915452	0.151803	0.250225	0.282712	0.186724	0.228003	0.482129	0.299385	0.751469	0.992769	0.363573	-0.387676	0.0437273	3	
0.29535	0.419643	0.436001	0.141894	0.496649	0.321706	0.916207	0.750134	0.236144	0.643841	0.091732	0.834331	0.822814	-0.522421	0.143194	5	
0.317736	0.7515	0.718187	0.507954	0.113442	0.873266	0.265188	0	0.564677	0.989918	0.460337	0.765808	0.793288	-0.780143	0.40404	8	
0.451082	0.787385	0.762606	0.548804	0.377576	0.172052	0.263436	0.636749	0.370703	0.640166	0.520178	0.631321	0.671305	-0.826636	0.498015	8	
0.436782	0.225682	0.177963	0.0517387	0.0935999	0.248052	0.204152	0.40226	0.156166	0.440459	0.0310753	0.0247282	0.22528	Inf	Inf	0	
0.432541	0.286058	0.177963	0.0517387	0.122335	0.26722	0.589228	0.13748	0.829767	0.454063	0.0184113	0	0.629657	-0.32474	0.0381753	3	
0.236937	0.462973	0.778277	0.44802	0.844318	0.179215	0.803352	0.865733	0.997123	0.588156	0.844962	0.0580751	0.681449	-0.770789	0.55051	8	
0.103479	0.755633	0.152268	0.902214	0.421325	0.131693	0.175426	0.967278	0.279282	0.150635	0.553199	0.922926	0.633147	-0.571719	0.221531	6	
0.601772	0.777131	0.787343	0.459219	0.714842	0.604639	0.439114	0.695939	0.794539	0.542137	0.571666	0.851508	0.986494	-0.963283	0.838172	11	
0.0503852	0.841739	0.0594696	0.248701	0.404662	0.104255	0.486646	0.519469	0.177562	0.216904	0.670503	0.96386	0.83035	-0.556981	0.197338	5	
0.0629675	0.964084	0.599724	0.151588	0.907844	0.506771	0.196392	0.309853	0.365194	0.429197	0.392407	0.687589	0.277705	-0.380092	0.0608275	5	
0.249775	0.332734	0.209683	0.551274	0.326369	0.278887	0.945105	0.00914024	0.968034	0.326683	0.0693327	0.5289	0.0347207	-0.305537	0.0511166	4	
0.418079	0.535753	0.333706	0.373525	0.69094	0.220893	0.324805	0.811079	0.118324	0.125701	0.412641	0.448787	0.426374	-0.165869	0.0169888	3	
0.0318922	0.707997	0.86836	0.839404	0.0706638	0.368649	0.748907	0.415448	0.414097	0.754104	0.934072	0.591785	0.592856	-0.765842	0.424415	8	
0.584362	0.645327	0.897333	0.131457	0.500734	0.969198	0.354272	0.170901	0.544422	0.826327	0.650547	0.574196	0.906097	-0.88051	0.648394	10	
0.75005	0.212105	0.257639	0.0716158	0.919493	0.514317	0.133957	0.629115	0.996223	0.561835	0.455426	0.69486	0.9698	-0.651827	0.358355	8	
0.451082	0.725764	0.762606	0.519076	0.377576	0.172052	0.263436	0.971866	0.216326	0.640166	0.520178	0.631321	0.228915	-0.650835	0.309287	7	
0.0177719	0.559412	0.394823	0.704047	0.704977	0.435143	0.479095	0.0482227	0.977089	0.821716	0.281772	0.743667	0.898652	-0.642462	0.29166	7	
0.305532	0.100508	0.312499	0.92722	0.466823	0.55091	0.295726	0.805481	0.456645	0.161415	0.0456038	0.867419	0.610748	-0.415397	0.0919107	5	
0.317736	0.7515	0.718187	0.497922	0.113442	0.873266	0.265188	0.0435459	0.0480341	0.989918	0.932212	0.765808	0.772138	-0.72935	0.360893	7	
0.396994	0.719853	0.370077	0.818969	0.181033	0.314833	0.217362	0.224267	0.823214	0.0365091	0.662651	0.509902	0.678132	-0.615905	0.232436	6	
0.422794	0.24962	0.401122	0.161511	0.455808	0.608848	0.574697	0.177089	0.987155	0.578188	0.359797	0.341588	0.254377	-0.24917	0.0315078	4	
0.796844	0.297486	0.912017	0.962467	0.0594796	0.752205	0.0200309	0.153824	0.83896	0.779234	0.743988	0.842626	0.529046	-0.812152	0.552259	9	
0.422794	0.24962	0.401122	0.161511	0.455808	0.608848	0.574697	0.177089	0.987155	0.578188	0.48594	0.341588	0.359542	-0.24917	0.0315078	4	
0.796844	0.297486	0.912017	0.962467	0.0594796	0.752205	0.0200309	0.153824	0.83896	0.779234	0.709093	0.899731	0.529046	-0.812152	0.552259	9	
0.601772	0.777131	0.787343	0.459219	0.714842	0.604639	0.439114	0.695939	0.411614	0.542137	0.571666	0.851508	0.968653	-0.836324	0.642008	10	
0.11243	0.790306	0.398372	0.47416	0.916473	0.906627	0.759043	0.389484	0.335021	0.282877	0.215667	0.904103	0.556256	-0.422962	0.137587	6	
0.715719	0.455603	0.555627	0.0461911	0.250958	0.716162	1	0.57992	0.686815	0.068131	0.803407	0.526445	0.618862	-0.802159	0.531241	9	
0.301426	0.100508	0.312499	0.92722	0.466823	0.55091	0.295726	0.805481	0.384603	0.161415	0.0456038	0.858835	0.610748	-0.415397	0.0919107	5	
0.500147	0.207046	0.754081	0.15025	0.83185	0.0264994	0.487269	0.102497	0.336842	0.420545	0.102399	0.151052	0.734424	-0.354912	0.0675549	4	
0.0177719	0.639059	0.394823	0.704047	0.704977	0.416768	0.479095	0.0482227	0.83271	0.821716	0.281772	0.669252	0.898652	-0.642462	0.29166	7	
0.601772	0.777131	0.820872	0.456283	0.772024	0.604639	0.439114	0.695939	0.899155	0.542137	0.571666	0.937091	0.864804	-0.963283	0.838172	11	
0.317736	0.7515	0.718187	0.497922	0.113442	0.873266	0.219291	0.0435459	0.0480341	0.989918	0.877408	0.765808	0.765739	-0.72935	0.360893	7	
0.445193	0.361153	0.51372	0.427905	0.0580307	0.55663	0.623644	0.505375	0.460395	0.638797	0.444993	0.813177	0.368296	-0.501755	0.153547	6	
0.236937	0.462973	0.757343	0.151231	0.834439	0.125631	0.803352	0.865733	0.997123	0.70563	0.844962	0.0596766	0.658971	-0.770789	0.55051	8	
